2025-08-11 05:41:02 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 237
2025-08-11 05:41:03 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 238
2025-08-11 05:41:04 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 239
2025-08-11 05:41:05 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 240
2025-08-11 05:41:06 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 241
2025-08-11 05:41:07 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 242
2025-08-11 05:41:08 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 243
2025-08-11 05:41:09 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 244
2025-08-11 05:41:10 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 245
2025-08-11 05:41:11 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 246
2025-08-11 05:41:12 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 247
2025-08-11 05:41:13 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 248
2025-08-11 05:41:14 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 249
2025-08-11 05:41:15 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 250
2025-08-11 05:41:16 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 251
2025-08-11 05:41:17 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 252
2025-08-11 05:41:18 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 253
2025-08-11 05:41:19 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 254
2025-08-11 05:41:20 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 255
2025-08-11 05:41:21 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 256
2025-08-11 05:41:22 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 257
2025-08-11 05:41:23 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 258
2025-08-11 05:41:24 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 259
2025-08-11 05:41:25 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 260
2025-08-11 05:41:26 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 261
2025-08-11 05:41:27 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 262
2025-08-11 05:41:28 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 263
2025-08-11 05:41:29 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 264
2025-08-11 05:41:30 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 265
2025-08-11 05:41:31 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 266
2025-08-11 05:41:32 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 267
2025-08-11 05:41:33 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 268
2025-08-11 05:41:34 train.py[line:276] INFO Best accuracy so far: 0, best AP: 0, in step: 269
