2025-08-14 07:08:22 logger.py[line:302] INFO Logger setup done. 
2025-08-14 07:08:22 train.py[line:38] INFO Creating training data loader...
2025-08-14 07:08:22 train.py[line:47] INFO Exclude class: ADM
2025-08-14 07:30:18 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 161
2025-08-14 07:30:19 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 162
2025-08-14 07:30:21 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 163
2025-08-14 07:30:22 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 164
2025-08-14 07:30:23 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 165
2025-08-14 07:30:24 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 166
2025-08-14 07:30:25 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 167
2025-08-14 07:30:26 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 168
2025-08-14 07:30:27 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 169
2025-08-14 07:30:28 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 170
2025-08-14 07:30:29 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 171
2025-08-14 07:30:30 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 172
2025-08-14 07:30:31 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 173
2025-08-14 07:30:33 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 174
2025-08-14 07:30:34 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 175
2025-08-14 07:30:35 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 176
2025-08-14 07:30:36 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 177
2025-08-14 07:30:37 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 178
2025-08-14 07:30:38 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 179
2025-08-14 07:30:39 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 180
2025-08-14 07:30:40 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 181
2025-08-14 07:30:41 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 182
2025-08-14 07:30:42 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 183
2025-08-14 07:30:43 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 184
2025-08-14 07:30:44 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 185
2025-08-14 07:30:46 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 186
2025-08-14 07:30:47 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 187
2025-08-14 07:30:48 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 188
2025-08-14 07:30:49 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 189
2025-08-14 07:30:50 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 190
2025-08-14 07:30:51 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 191
2025-08-14 07:30:52 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 192
2025-08-14 07:30:53 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 193
2025-08-14 07:30:54 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 194
2025-08-14 07:30:55 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 195
2025-08-14 07:30:57 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 196
2025-08-14 07:30:58 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 197
2025-08-14 07:30:59 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 198
2025-08-14 07:31:00 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 199
2025-08-14 07:31:01 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 200
2025-08-14 07:31:02 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 201
2025-08-14 07:31:03 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 202
2025-08-14 07:31:04 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 203
2025-08-14 07:31:05 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 204
2025-08-14 07:31:06 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 205
2025-08-14 07:31:08 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 206
2025-08-14 07:31:09 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 207
2025-08-14 07:31:10 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 208
2025-08-14 07:31:11 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 209
2025-08-14 07:31:12 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 210
2025-08-14 07:31:13 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 211
2025-08-14 07:31:14 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 212
2025-08-14 07:31:15 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 213
2025-08-14 07:31:16 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 214
2025-08-14 07:31:17 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 215
2025-08-14 07:31:18 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 216
2025-08-14 07:31:19 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 217
2025-08-14 07:31:20 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 218
2025-08-14 07:31:21 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 219
2025-08-14 07:31:23 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 220
2025-08-14 07:31:24 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 221
2025-08-14 07:31:25 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 222
2025-08-14 07:31:26 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 223
2025-08-14 07:31:27 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 224
2025-08-14 07:31:28 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 225
2025-08-14 07:31:29 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 226
2025-08-14 07:31:30 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 227
2025-08-14 07:31:31 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 228
2025-08-14 07:31:32 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 229
2025-08-14 07:31:33 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 230
2025-08-14 07:31:34 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 231
2025-08-14 07:31:36 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 232
2025-08-14 07:31:37 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 233
2025-08-14 07:31:38 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 234
2025-08-14 07:31:39 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 235
2025-08-14 07:31:40 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 236
2025-08-14 07:31:41 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 237
2025-08-14 07:31:42 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 238
2025-08-14 07:31:43 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 239
2025-08-14 07:31:44 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 240
2025-08-14 07:31:45 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 241
2025-08-14 07:31:46 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 242
2025-08-14 07:31:47 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 243
2025-08-14 07:31:48 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 244
2025-08-14 07:31:49 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 245
2025-08-14 07:31:51 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 246
2025-08-14 07:31:52 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 247
2025-08-14 07:31:53 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 248
2025-08-14 07:31:54 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 249
2025-08-14 07:31:55 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 250
2025-08-14 07:31:56 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 251
2025-08-14 07:31:57 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 252
2025-08-14 07:31:58 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 253
2025-08-14 07:31:59 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 254
2025-08-14 07:32:00 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 255
2025-08-14 07:32:01 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 256
2025-08-14 07:32:02 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 257
2025-08-14 07:32:03 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 258
2025-08-14 07:32:05 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 259
2025-08-14 07:32:06 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 260
2025-08-14 07:32:07 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 261
2025-08-14 07:32:08 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 262
2025-08-14 07:32:09 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 263
2025-08-14 07:32:10 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 264
2025-08-14 07:32:11 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 265
2025-08-14 07:32:12 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 266
2025-08-14 07:32:13 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 267
2025-08-14 07:32:14 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 268
2025-08-14 07:32:15 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 269
2025-08-14 07:32:16 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 270
2025-08-14 07:32:17 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 271
2025-08-14 07:32:18 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 272
2025-08-14 07:32:19 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 273
2025-08-14 07:32:20 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 274
